,tasty,name,price,target,category,coffee
0,견과류&고소,과테말라 파노라마,"13,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에스프레소머신', '블랙 그대로']","['버번 (Bourbon)', '파노라마 (Panorama)']"
1,견과류&밸런스,과테말라 우에우에테낭고 디카페인,"14,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '에스프레소머신', '블랙 그대로']","['티피카 (Typica)', '우에우에테낭고 (Norte de huehuetenango)']"
2,과일&꽃향기,과테말라 산타펠리사 게이샤,"22,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '에스프레소머신', '블랙 그대로']","['게이샤2722 (Geisha2722)', '산타펠리사 (Santafelisa)']"
3,과일&화사한,에티오피아 반티넨카,"14,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅', '직접 무역']","['핸드드립', '에스프레소머신', '블랙 그대로']","['에티오피아', '토착종 (Heirloom)', '반티넨카 (Bantinenka)']"
4,과일&달콤,콜롬비아 라 미란다3 패션후르츠,"22,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '라이트 미디엄 로스팅', '직접 무역']","['핸드드립', '에스프레소머신', '블랙 그대로']","['핑크 버번 (Pink Bourbon)', '라 미란다3 (La Miranda3)']"
5,과일&풍부한,콜롬비아 리치피치,"21,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '라이트 미디엄 로스팅']",[],"['버번 (Bourbon)', '엘 파라이소 (El Paraiso)']"
6,과일&달콤,콜롬비아 만델라 하이브리드 워시드,"15,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '블랙 그대로']","['콜롬비아', 'Mandela', '라 에스페란자 (La Esperanza)']"
7,고소&초콜릿,브라질 CC워터 디카페인,"14,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에어로프레스', '블랙 그대로']","['브라질', '문도노보,카투아이,버번 (Mundo Novo, Catuai, Bourbon)', '미나스 제라스 (Minas gerais)']"
8,견과류&달콤,브라질 산타루시아,"13,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '모카포트', '블랙 그대로']","['브라질', '엘로우버번(Yellow Bourbon)', '산타루시아(Santa Lucia)']"
9,과일&풍부한,코스타리카 로스 토노스,"20,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '모카포트', '블랙 그대로']","['코스타리카', '밀레니오 (Milenio)', '로스 토노스 (Los Tonos)']"
10,과일&달콤,콜롬비아 엘 엔칸토 레드 펀치,"24,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '에스프레소머신', '블랙 그대로']","['콜롬비아', '핑크버번', '엘 엔칸토']"
11,고소&부드러운,디카페인 콜롬비아,"12,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '가벼운 산미', '싱글 오리진', '다크 로스팅', '직접 무역']","['에스프레소머신', '핸드드립', '블랙 그대로']","['콜롬비아', '후일라']"
12,달콤&묵직한,펀치,"14,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '다크 로스팅']","['에스프레소머신', '핸드드립', '블랙 그대로']","['브라질', '에티오피아']"
13,묵직한&고소,버터 슬럽 블렌드,"15,000원
250g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '블랙 그대로']","['브라질 세하도', '과테말라 안티구아', '인도 카피로얄']"
14,견과류&은은한,디카프 슬럽,"14,000원
250g","['3일 내 볶은 원두만 배송', '디카페인', '가벼운 산미', '싱글 오리진', '미디엄 로스팅']","['에스프레소머신', '블랙 그대로']","['콜롬비아', '카우카', '후일라', '카투라, 티피카']"
